SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35009291,7.4,-1,-1,-1,7.5,7,8.75,6.75,7.4,N1,,,,,,,,,,
35009292,8.4,-1,-1,-1,6.25,7.5,7.5,7.25,3.6,N1,,,,,,,,,,
35009293,7.2,-1,-1,-1,5.75,6.75,8.25,4.25,3,N1,,,,,,,,,,
35009294,6.6,-1,-1,-1,6.25,5.25,-1,5.75,-1,none,,,,,,,,,,
35009295,7,-1,-1,-1,4.75,5.25,-1,3.25,-1,none,,,,,,,,,,
35009296,7.8,8,6,4.25,-1,-1,-1,6,7.6,N1,,,,,,,,,,
35009297,7.6,6.5,4.75,5.75,-1,-1,-1,6.75,2.6,N1,,,,,,,,,,
35009298,5,-1,-1,-1,6,5.5,7.75,5.75,7.2,N1,,,,,,,,,,
35009299,1.4,-1,-1,-1,4,4.75,-1,1.5,-1,none,,,,,,,,,,
35009300,8.2,7.5,5.25,3.25,-1,-1,-1,6.5,8.8,N1,,,,,,,,,,
35009301,8.2,5.25,10,3,-1,-1,-1,5.75,9.8,N1,,,,,,,,,,
35009302,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35009303,5.8,-1,-1,-1,7.75,6.25,-1,6.5,-1,none,,,,,,,,,,
35009304,7.2,-1,-1,-1,8,8,8,7.5,2.4,N1,,,,,,,,,,
35009305,6.2,-1,-1,-1,7,8.25,-1,6.5,-1,none,,,,,,,,,,
35009306,6,-1,-1,-1,7,7,-1,6.75,-1,none,,,,,,,,,,
35009307,4.6,-1,-1,-1,6.5,7,-1,4.25,-1,none,,,,,,,,,,
35009308,6.2,-1,-1,-1,7.25,8,-1,6,-1,none,,,,,,,,,,
35009309,4.6,-1,-1,-1,7.5,7.25,9,5.5,4,N1,,,,,,,,,,
35009310,6.2,-1,-1,-1,6.75,7.75,7.75,5.25,3.4,N1,,,,,,,,,,
35009311,7,-1,-1,-1,7,7.5,8.25,6.25,4,N1,,,,,,,,,,
35009312,4.6,4,5,2.5,-1,-1,-1,6,-1,none,,,,,,,,,,
35009313,8.4,-1,-1,-1,-1,-1,-1,8.75,6.6,N1,,,,,,,,,,
35009314,5.8,-1,-1,-1,6.75,7,8.25,5.25,3.8,N1,,,,,,,,,,
35009315,7.8,7,7.5,5.25,-1,-1,-1,6,6,N1,,,,,,,,,,
35009316,7.4,4.75,6.75,3.75,-1,-1,-1,6.75,3.4,N1,,,,,,,,,,
35009317,9.2,8.5,8,6,-1,-1,-1,6.25,5.6,N1,,,,,,,,,,
35009318,6.6,-1,-1,-1,7,6.25,8.25,8.25,4.8,N1,,,,,,,,,,
35009319,7.4,5.75,7.5,5.5,-1,-1,-1,6.75,8.6,N1,,,,,,,,,,
35009320,4.6,-1,-1,-1,7.25,7.25,-1,5.25,-1,none,,,,,,,,,,
35009321,7.2,-1,-1,-1,4.5,7.75,8.25,6.75,4.4,N1,,,,,,,,,,
35009322,6,-1,-1,-1,5.5,7.25,-1,5.25,-1,none,,,,,,,,,,
35009323,2.8,2,2.25,3,-1,-1,-1,6,2.4,N1,,,,,,,,,,
35009324,8.2,-1,-1,-1,7,7.5,8.5,8.25,7,N1,,,,,,,,,,
35009325,6.8,-1,-1,-1,6.75,7.25,8.25,8.5,4,N1,,,,,,,,,,
35009326,6.2,-1,-1,-1,7.25,8,8.5,8.5,4.4,N1,,,,,,,,,,
35009327,3.4,-1,-1,-1,6.75,4.25,5,5.75,3.4,N1,,,,,,,,,,
35009328,5.8,-1,-1,-1,6.75,6,-1,2.5,-1,none,,,,,,,,,,
35009329,7.6,-1,-1,-1,5.75,6,8,6.5,6.8,N1,,,,,,,,,,
35009330,6.2,-1,-1,-1,6.25,7,8,6.25,5.2,N1,,,,,,,,,,
35009331,8.4,6.25,5.5,2.5,-1,-1,-1,6,5.2,N1,,,,,,,,,,
35009332,7.8,-1,-1,-1,7.75,6.5,8.5,9.5,8.6,N1,,,,,,,,,,
35009333,8.2,6.5,6.5,5.25,-1,-1,-1,6.75,8.8,N1,,,,,,,,,,
35009334,7.6,6.5,7,4,-1,-1,-1,6.25,5.2,N1,,,,,,,,,,
35009335,7.4,-1,-1,-1,6.75,6,7.25,6.75,4.4,N1,,,,,,,,,,
35009336,5.6,-1,-1,-1,4.5,6.5,6.75,6,3,N1,,,,,,,,,,
35009337,9.2,-1,8.5,8.25,-1,-1,-1,-1,-1,none,,,,,,,,,,
35009338,4.4,-1,-1,-1,5.5,6.25,-1,5.5,-1,none,,,,,,,,,,
35009339,6.6,-1,-1,-1,7.75,8,-1,5.25,-1,none,,,,,,,,,,
35009340,9.2,8,9,8.25,-1,-1,-1,8,6.4,N1,,,,,,,,,,
35009341,7.8,-1,-1,-1,5,6.75,7.5,7,4.4,N1,,,,,,,,,,
35009342,8,7.5,7.5,5.75,-1,-1,-1,4.25,5,N1,,,,,,,,,,
35009343,7.4,-1,-1,-1,2.75,4.75,5.5,7.75,6.4,N1,,,,,,,,,,
35009344,7.4,-1,-1,-1,7.25,6.5,7.75,8.5,6,N1,,,,,,,,,,
35009345,6.2,-1,-1,-1,8,7.75,-1,7,-1,none,,,,,,,,,,
35009346,6.2,-1,-1,-1,6.75,7.25,-1,5.5,-1,none,,,,,,,,,,
35009347,8.2,5,6.5,2.75,-1,-1,-1,7,-1,none,,,,,,,,,,
35009348,8.4,-1,-1,-1,5.75,5,7.5,7.75,4.6,N1,,,,,,,,,,
35009349,6.8,-1,-1,-1,5.25,6,6,6.25,4.2,N1,,,,,,,,,,
35009350,7.2,-1,-1,-1,4.25,6.5,7.25,7.75,3.8,N1,,,,,,,,,,
35009351,7.6,-1,-1,-1,4.5,7.5,7,7,3.6,N1,,,,,,,,,,
35009352,6.6,-1,-1,-1,7.25,8,-1,6.5,-1,none,,,,,,,,,,
35009353,5.8,-1,-1,-1,5.25,8.25,-1,5.75,-1,none,,,,,,,,,,
35009354,8.2,8.25,8.5,6.25,-1,-1,-1,8,8,N1,,,,,,,,,,
35009355,4.4,-1,-1,-1,4.25,6.25,-1,2.5,-1,none,,,,,,,,,,
35009356,7.8,-1,-1,-1,6,8.25,8,6.5,5,N1,,,,,,,,,,
35009357,8.6,7.75,5.75,4.75,-1,-1,-1,8,7.8,N1,,,,,,,,,,
35009358,7,6.75,7.5,5,-1,-1,-1,6.5,3.2,N1,,,,,,,,,,
35009359,4.2,-1,-1,-1,5.75,6,-1,4.25,-1,none,,,,,,,,,,
35009360,7.4,-1,-1,-1,4,6,-1,8.75,3.4,N1,,,,,,,,,,
35009361,6.8,-1,-1,-1,8,7.25,9,8.25,7.2,N1,,,,,,,,,,
35009362,6.8,6,4.75,4,-1,-1,-1,6.75,5.2,N1,,,,,,,,,,
35009363,6,-1,-1,-1,5.75,6,7.75,6,3.4,N1,,,,,,,,,,
35009364,7.2,6.75,7,4.75,-1,-1,-1,7.5,5.2,N1,,,,,,,,,,
35009365,5.2,-1,-1,-1,5.75,5.5,6.75,7.25,3.2,N1,,,,,,,,,,
35009366,8.8,9.25,7,6,-1,-1,-1,6.75,8,N1,,,,,,,,,,
35009367,8.6,8.5,7,5,-1,-1,-1,7.5,9.2,N1,,,,,,,,,,
35009368,7.4,-1,-1,-1,6.25,6,8.75,9.25,6.4,N1,,,,,,,,,,
35009369,7.4,7,8.75,4.5,-1,-1,-1,7.25,4.8,N1,,,,,,,,,,
35009370,7.2,-1,-1,-1,6.75,6.75,8,6.5,6.4,N1,,,,,,,,,,
35009371,6.6,-1,-1,-1,5.75,7.5,5.5,5.5,4.8,N1,,,,,,,,,,
35009372,4.2,2.75,1.75,3.75,-1,-1,-1,3.75,4.2,N1,,,,,,,,,,
35009373,9,8.5,8.75,5.25,-1,-1,-1,6.25,7.4,N1,,,,,,,,,,
35009374,5.8,-1,-1,-1,7.5,7.5,-1,5.5,-1,none,,,,,,,,,,
35009375,5.4,-1,-1,-1,5,6.75,-1,6.5,-1,none,,,,,,,,,,
35009376,6.8,-1,-1,-1,6.5,7.75,7.25,7.25,4.8,N1,,,,,,,,,,
35009377,8,6.25,5.5,3.5,-1,-1,-1,7,-1,none,,,,,,,,,,
35009378,8.4,9.25,5.5,3,-1,-1,-1,7.25,9,N1,,,,,,,,,,
35009379,5.6,-1,-1,-1,2.5,4.75,7.25,6,3.8,N1,,,,,,,,,,
35009380,8.4,6.25,7,3.5,-1,-1,-1,7.25,5.8,N1,,,,,,,,,,
35009381,5.8,-1,-1,-1,5.5,6.25,7.75,7.5,2.2,N1,,,,,,,,,,
35009382,6.8,-1,-1,-1,4.75,6,6.25,6.5,2.8,N1,,,,,,,,,,
35009383,6.2,-1,-1,-1,6,6.25,7.5,6.75,3.4,N1,,,,,,,,,,
35009384,6.6,-1,-1,-1,6.5,6.25,8.25,7.75,3.4,N1,,,,,,,,,,
35009385,6.2,-1,-1,-1,7.25,7.75,9.25,7.25,6.8,N1,,,,,,,,,,
35009386,6,-1,-1,-1,5.75,6.75,7,6.75,6.4,N1,,,,,,,,,,
35009387,5.8,-1,-1,-1,5.75,7,6,6.5,3.4,N1,,,,,,,,,,
35009388,4.2,-1,-1,-1,3.25,4.5,6.5,4.75,2.4,N1,,,,,,,,,,
35009389,5.8,-1,-1,-1,3.75,7,7.5,7,3.6,N1,,,,,,,,,,
35009390,7.8,7.5,6.75,2.5,-1,-1,-1,5.66,8,N1,,,,,,,,,,
35009391,8,7.75,6.25,4.5,-1,-1,-1,8,9.2,N1,,,,,,,,,,
35009392,6.8,-1,-1,-1,9,8.75,8.25,8,4.4,N1,,,,,,,,,,
35009393,7,-1,-1,-1,4.25,7,7.75,7,4.4,N1,,,,,,,,,,
35009394,5.2,4,2.5,3.25,-1,-1,-1,7,-1,none,,,,,,,,,,
35009395,7.6,7.75,6.25,5,-1,-1,-1,7.5,8,N1,,,,,,,,,,
35009396,5.2,-1,-1,-1,6.5,6.25,7.5,8.5,6,N1,,,,,,,,,,
35009397,5.8,4.5,4.75,3.25,-1,-1,-1,5,4.8,N1,,,,,,,,,,
35009398,8.2,8.25,4,4.5,-1,-1,-1,8,9,N1,,,,,,,,,,
35009399,5.8,-1,-1,-1,7.25,8,-1,6,-1,none,,,,,,,,,,
35009400,8.8,8.25,8,6,-1,-1,-1,6.5,6.2,N1,,,,,,,,,,
35009401,8.4,4,8.5,7,-1,-1,-1,-1,-1,none,,,,,,,,,,
35009402,9,7.75,8,5.25,-1,-1,-1,8.75,7,N1,,,,,,,,,,
35009403,5.4,-1,-1,-1,6.25,5.25,6.5,6,4,N1,,,,,,,,,,
35009404,6.8,4.5,5.25,3,-1,-1,-1,6.5,-1,none,,,,,,,,,,
35009405,6.4,5.5,6.5,4.75,-1,-1,-1,5,-1,none,,,,,,,,,,
35009406,5.6,-1,-1,-1,6.5,6,-1,4.25,-1,none,,,,,,,,,,
35009407,5.6,6.25,6,4,-1,-1,-1,4,3.6,N1,,,,,,,,,,
35009408,-1,5.5,4.5,3.75,-1,-1,-1,-1,3.8,N1,,,,,,,,,,
35009409,7,-1,-1,-1,7,6.75,7.5,7,3,N1,,,,,,,,,,
35009410,4.4,-1,-1,-1,5.25,5.75,7.5,4.5,4,N1,,,,,,,,,,
35009411,6.2,-1,-1,-1,5.25,7,-1,4.75,-1,none,,,,,,,,,,
35009412,8,7,7.5,4,-1,-1,-1,-1,-1,none,,,,,,,,,,
35009413,5.2,-1,-1,-1,7.5,8.25,-1,6,-1,none,,,,,,,,,,
35009414,6.4,-1,-1,-1,6.5,6.75,8.25,6.25,2.2,N1,,,,,,,,,,
35009415,6.2,-1,-1,-1,5,6,8.25,6.5,3.8,N1,,,,,,,,,,
35009416,7.4,-1,-1,-1,5,8.25,8.75,8,5,N1,,,,,,,,,,
35009417,3.8,-1,-1,-1,4.5,6.25,7.5,6,2.8,N1,,,,,,,,,,
35009418,5,-1,-1,-1,6,7,6.25,7,3.4,N1,,,,,,,,,,
35009419,7.8,-1,-1,-1,7.25,7.25,7.25,6.75,5.2,N1,,,,,,,,,,
35009420,8,6.5,9,5.5,-1,-1,-1,7.15,7.8,N1,,,,,,,,,,
35009421,8,-1,-1,-1,5.25,7.25,7.25,7.25,5.6,N1,,,,,,,,,,
35009422,8.4,-1,-1,-1,8.25,8.25,9.5,8.5,7.2,N1,,,,,,,,,,
35009423,7.6,-1,-1,-1,7.75,8.5,7.75,8.25,5,N1,,,,,,,,,,
35009424,7.4,3.25,3.75,4.5,-1,-1,-1,6,3.2,N1,,,,,,,,,,
35009425,7.4,-1,-1,-1,6.5,8.75,8.5,8.75,5.6,N1,,,,,,,,,,
35009426,6.4,-1,-1,-1,5,7,-1,8,-1,none,,,,,,,,,,
35009427,5.8,-1,-1,-1,6,6.5,-1,6.25,-1,none,,,,,,,,,,
35009428,8.8,7.5,-1,-1,-1,-1,-1,-1,6.4,N1,,,,,,,,,,
35009429,6.4,-1,-1,-1,5.5,6.25,7.5,7.75,4.6,N1,,,,,,,,,,
35009430,3.6,-1,-1,-1,5,5.5,-1,4.5,-1,none,,,,,,,,,,
35009431,4.6,-1,-1,-1,5,5.5,7.75,6,4.2,N1,,,,,,,,,,
35009432,8,-1,-1,-1,7.25,6.25,7.25,7.75,5,N1,,,,,,,,,,
35009433,6.2,-1,-1,-1,5.75,5.25,8.5,5.75,3.2,N1,,,,,,,,,,
35009434,8,6.25,5.5,6.75,-1,-1,-1,6,3.4,N1,,,,,,,,,,
35009435,5.8,-1,-1,-1,6,5.75,-1,4.75,-1,none,,,,,,,,,,
35009436,4.8,-1,-1,-1,4,6,7.25,4.25,2.8,N1,,,,,,,,,,
35009437,8,5.5,5.5,5.25,-1,-1,-1,8,6,N1,,,,,,,,,,
35009438,8.2,-1,-1,-1,6.25,6.5,9,8.5,6.8,N1,,,,,,,,,,
35009439,4.4,-1,-1,-1,4.25,5.75,-1,6,-1,none,,,,,,,,,,
35009440,5.2,5.75,5.5,4.5,-1,-1,-1,7.5,6.4,N1,,,,,,,,,,
35009441,8.8,6.75,7.5,6.75,-1,-1,-1,6.5,6,N1,,,,,,,,,,
35009442,5.2,-1,-1,-1,7,7.25,7.5,7,3.2,N1,,,,,,,,,,
35009443,7.2,5.75,5.5,6.5,-1,-1,-1,7.25,5.2,N1,,,,,,,,,,
35009444,7.6,4.75,4.75,4.75,-1,-1,-1,5.5,5.4,N1,,,,,,,,,,
35009445,5.8,-1,-1,-1,6.5,8.25,9,7.5,4.6,N1,,,,,,,,,,
35009446,7.4,7.5,7.75,6,-1,-1,-1,8.5,4,N1,,,,,,,,,,
35009447,8.6,6.5,8.25,5.75,-1,-1,-1,7.75,7.6,N1,,,,,,,,,,
35009448,7.6,-1,-1,-1,6.75,7,8.5,5.75,7.2,N1,,,,,,,,,,
35009449,5.2,-1,-1,-1,6,6.5,7.5,4.5,3.2,N1,,,,,,,,,,
35009450,7.4,6.75,6.25,4.75,-1,-1,-1,6.75,5.6,N1,,,,,,,,,,
35009451,7.2,-1,-1,-1,6.5,7,8.75,6,6,N1,,,,,,,,,,
35009452,6.2,-1,-1,-1,4.75,6.5,7.75,5,2.8,N1,,,,,,,,,,
35009453,7,3,4.25,4.5,-1,-1,-1,8.5,7,N1,,,,,,,,,,
35009454,6.8,-1,-1,-1,7.5,7,7.5,8.75,6.4,N1,,,,,,,,,,
35009455,-1,-1,-1,-1,9,8,-1,7.5,-1,none,,,,,,,,,,
35009456,5,-1,-1,-1,3,4,6.75,6,5.4,N1,,,,,,,,,,
35009457,6.8,-1,-1,-1,5,6,7.75,7.5,5.8,N1,,,,,,,,,,
35009458,2.6,-1,-1,-1,6,6.5,-1,5.75,-1,none,,,,,,,,,,
35009459,6.8,-1,-1,-1,6.25,7.75,7.5,6,6.8,N1,,,,,,,,,,
35009460,4,-1,-1,-1,6.75,6.5,-1,5.25,-1,none,,,,,,,,,,
35009461,8.6,8,8.75,6.25,-1,-1,-1,6.3,8.2,N1,,,,,,,,,,
35009462,7.6,-1,-1,-1,7.5,8,-1,7.75,-1,none,,,,,,,,,,
35009463,6.6,-1,-1,-1,6.25,6.25,8.5,7,4,N1,,,,,,,,,,
35009464,6.6,-1,-1,-1,3.75,6,7.5,6.25,4.6,N1,,,,,,,,,,
35009465,7.6,5.5,8.75,4,-1,-1,-1,5.75,7.2,N1,,,,,,,,,,
35009466,8.4,-1,-1,-1,3,6.75,7,6.25,4.4,N1,,,,,,,,,,
35009467,6.8,-1,-1,-1,6.5,7.25,8.25,6.75,5.2,N1,,,,,,,,,,
35009468,7.4,-1,-1,-1,6.5,6.75,8.5,7.75,5.4,N1,,,,,,,,,,
35009469,6.6,-1,-1,-1,6.25,6.75,7.25,6.75,4.4,N1,,,,,,,,,,
35009470,8.4,7,8.5,4.25,-1,-1,-1,6.25,7.2,N1,,,,,,,,,,
35009471,5.8,-1,-1,-1,5.5,7,7.5,8,3.8,N1,,,,,,,,,,
35009472,9,7.75,6.25,4.5,-1,-1,-1,7.25,8.8,N1,,,,,,,,,,
35009473,8.2,-1,-1,-1,7.5,7.75,7.5,8.25,5.8,N1,,,,,,,,,,
35009474,5.8,-1,-1,-1,5.5,7,8.5,6.5,6.2,N1,,,,,,,,,,
35009475,7.2,-1,-1,-1,5.25,7.25,7.75,7.25,4.6,N1,,,,,,,,,,
35009476,7.4,-1,-1,-1,8.75,7.75,7,7.75,5.8,N1,,,,,,,,,,
35009477,2.8,-1,-1,-1,5,4.5,-1,4.5,-1,none,,,,,,,,,,
35009478,7.2,-1,-1,-1,4.5,6,7.75,7.25,5.8,N1,,,,,,,,,,
35009479,6.8,-1,-1,-1,7.5,7.75,8.5,6,5.6,N1,,,,,,,,,,
35009480,6.4,5,6.25,2.5,-1,-1,-1,6.25,-1,none,,,,,,,,,,
35009481,7,-1,-1,-1,5.25,5.75,8.5,7.5,6.8,N1,,,,,,,,,,
35009482,5.2,-1,-1,-1,6,6.25,6.5,8,6,N1,,,,,,,,,,
35009483,4.8,-1,-1,-1,5.5,7,6.5,6,4,N1,,,,,,,,,,
35009484,7.8,5.5,7.25,4.75,-1,-1,-1,7,6.8,N1,,,,,,,,,,
35009485,7.4,-1,-1,-1,5,8.5,8.75,6.75,5.2,N1,,,,,,,,,,
35009486,7.8,4.25,6.75,6.5,-1,-1,-1,8.25,-1,none,,,,,,,,,,
35009487,5,-1,-1,-1,5.25,8,9.25,5.75,3.2,N1,,,,,,,,,,
35009488,6.4,-1,-1,-1,5.25,5.75,-1,5.75,-1,none,,,,,,,,,,
35009489,7.8,-1,-1,-1,4.25,6.75,7.75,7,3.4,N1,,,,,,,,,,
35009490,6.6,-1,-1,-1,6.25,6.5,7.5,6,5.4,N1,,,,,,,,,,
35009491,8,-1,-1,-1,7.25,6.25,7.75,7.25,4.4,N1,,,,,,,,,,
35009492,8,-1,-1,-1,7.25,9,9.75,8.75,7.6,N1,,,,,,,,,,
35009493,6.8,-1,-1,-1,9,7.5,8.25,8.5,4,N1,,,,,,,,,,
35009494,4.2,-1,-1,-1,4,6,-1,4.75,-1,none,,,,,,,,,,
35009495,6.6,-1,-1,-1,5.25,6.25,6.25,7.75,3.4,N1,,,,,,,,,,
35009496,7.4,-1,-1,-1,6.75,8.25,8.75,8.25,5.8,N1,,,,,,,,,,
35009497,6.6,-1,-1,-1,6.25,6.5,-1,5.75,-1,none,,,,,,,,,,
35009498,7.8,-1,-1,-1,5.75,7,8.25,7.75,6.2,N1,,,,,,,,,,
35009499,5.2,-1,-1,-1,8.5,7.5,-1,5.5,-1,none,,,,,,,,,,
35009500,-1,-1,-1,-1,8.5,8.25,-1,6.75,-1,none,,,,,,,,,,
35009501,8,-1,-1,-1,8,7.25,7.75,7.5,4.8,N1,,,,,,,,,,
35009502,8.4,8,7,5.75,-1,-1,-1,7.5,8.2,N1,,,,,,,,,,
35009503,6.6,5.25,6.25,3.25,-1,-1,-1,7,6.6,N1,,,,,,,,,,
35009504,6.8,-1,-1,-1,7,6.5,7.75,6.5,4.8,N1,,,,,,,,,,
35009505,7.6,7,8,4.5,-1,-1,-1,6.66,7.6,N1,,,,,,,,,,
35009506,6.4,7,5.75,4.75,-1,-1,-1,6.5,6.6,N1,,,,,,,,,,
35009507,6.8,4.25,6.25,5.5,-1,-1,-1,6.5,4,N1,,,,,,,,,,
35009508,4.6,-1,-1,-1,6.25,7,8,7,3.2,N1,,,,,,,,,,
35009509,6.8,6.5,7.5,4.75,-1,-1,-1,6.5,4.8,N1,,,,,,,,,,
35009510,8.8,7.5,4.5,2.25,-1,-1,-1,6.25,6.6,N1,,,,,,,,,,
35009511,8.4,7.25,4,3.5,-1,-1,-1,7.25,7.2,N1,,,,,,,,,,
35009512,7.4,6.5,7,4.25,-1,-1,-1,5.75,4,N1,,,,,,,,,,
35009513,6,5.5,5,2.75,-1,-1,-1,6,-1,none,,,,,,,,,,
35009514,6.2,-1,-1,-1,6.75,6.5,-1,4.25,-1,none,,,,,,,,,,
35009515,8.4,-1,-1,-1,6.25,7.75,8.5,6,4,N1,,,,,,,,,,
35009516,7,4,3,4,-1,-1,-1,6,4.4,N1,,,,,,,,,,
35009517,6.6,-1,-1,-1,6.5,6.5,8.25,7.5,4.4,N1,,,,,,,,,,
35009518,5.6,-1,-1,-1,5.25,6.5,8.25,7.5,4,N1,,,,,,,,,,
35009519,5.4,-1,-1,-1,4.5,6.25,7.5,6,3,N1,,,,,,,,,,
35009520,7.8,-1,-1,-1,4.75,6,8,7.5,5.8,N1,,,,,,,,,,
35009521,7.4,4,6.75,3,-1,-1,-1,6.5,-1,none,,,,,,,,,,
35009522,6.4,-1,-1,-1,4,6,-1,5,-1,none,,,,,,,,,,
35009523,5.6,-1,-1,-1,5.75,6,-1,7.25,-1,none,,,,,,,,,,
35009524,8.8,-1,-1,-1,6.75,8.75,9.25,9,4.2,N1,,,,,,,,,,
35009525,1.4,-1,-1,-1,4.25,7.25,7.5,8.5,3.8,N1,,,,,,,,,,
35009526,6.6,4.25,4.75,5,-1,-1,-1,6,-1,none,,,,,,,,,,
35009527,7.4,-1,-1,-1,4.75,6.75,-1,7,-1,none,,,,,,,,,,
35009528,5.4,-1,-1,-1,3.25,5.25,-1,5,-1,none,,,,,,,,,,
35009529,-1,-1,-1,-1,5.5,6,-1,8.5,-1,none,,,,,,,,,,
35009530,7.6,-1,-1,-1,8,7.5,9.25,7.75,4.2,N1,,,,,,,,,,
35009531,4.8,3.75,3.75,2.5,-1,-1,-1,6,-1,none,,,,,,,,,,
35009532,4.2,2.25,4.25,3,-1,-1,-1,6.25,-1,none,,,,,,,,,,
35009533,8.2,-1,-1,-1,7.75,6.5,8.75,8.25,6.4,N1,,,,,,,,,,
35009534,8.2,4.75,7.75,6.25,-1,-1,-1,8,6.2,N1,,,,,,,,,,
35009535,9,7.25,9,5.25,-1,-1,-1,7.25,9.6,N1,,,,,,,,,,
35009536,7.4,-1,-1,-1,4.75,5.75,6,6.75,3.8,N1,,,,,,,,,,
35009537,5.4,-1,-1,-1,6.25,7.25,-1,5.75,-1,none,,,,,,,,,,
35009538,6.6,5.25,5.75,3.5,-1,-1,-1,6.75,-1,none,,,,,,,,,,
35009539,4,-1,-1,-1,8,7.75,8.5,9,6.2,N1,,,,,,,,,,
35009540,8.4,7.25,7.25,3.75,-1,-1,-1,4.75,4.8,N1,,,,,,,,,,
35009541,8,5,8.5,2.75,-1,-1,-1,5.25,6.8,N1,,,,,,,,,,
35009542,6.2,-1,-1,-1,7.5,6.25,-1,5,-1,none,,,,,,,,,,
35009543,4,-1,-1,-1,6.5,6.75,-1,5,-1,none,,,,,,,,,,
35009544,5.8,-1,-1,-1,6.75,6,7,4.75,5,N1,,,,,,,,,,
35009545,7.2,-1,-1,-1,7.75,6.5,7.5,6.75,5,N1,,,,,,,,,,
35009546,7.2,5.75,5.5,4.25,-1,-1,-1,7.5,5,N1,,,,,,,,,,
35009547,6.6,-1,-1,-1,8.5,7,7.75,6.25,4.2,N1,,,,,,,,,,
35009548,7.6,-1,-1,-1,7.5,8,8.5,7.25,5.6,N1,,,,,,,,,,
35009549,8.4,6.75,7.5,5,-1,-1,-1,7,5,N1,,,,,,,,,,
35009550,8.2,5.5,6.5,5.75,-1,-1,-1,6.75,3.2,N1,,,,,,,,,,
35009551,7.2,-1,-1,-1,6.5,6.5,7.75,7.25,7,N1,,,,,,,,,,
35009552,7.2,-1,-1,-1,6.25,7.5,6.75,7.5,5.8,N1,,,,,,,,,,
35009553,7.2,-1,-1,-1,7,7,7.75,7,5,N1,,,,,,,,,,
35009554,7.8,-1,-1,-1,7.75,8,7.5,7.5,6.8,N1,,,,,,,,,,
35009555,7,-1,-1,-1,9,8,8.25,7,7,N1,,,,,,,,,,
35009556,9.2,7,4,8,-1,-1,-1,6.5,9,N1,,,,,,,,,,
35009557,7.4,-1,-1,-1,6.5,6.25,8,6.5,5.8,N1,,,,,,,,,,
35009558,7.2,-1,-1,-1,4,5.5,-1,6.5,-1,none,,,,,,,,,,
35009559,6.2,-1,-1,-1,5.75,6.75,8.5,3.75,2.6,N1,,,,,,,,,,
35009560,6.4,-1,-1,-1,3.5,5.25,-1,1.5,-1,none,,,,,,,,,,
35009561,5,-1,-1,-1,6,5.5,-1,4.25,-1,none,,,,,,,,,,
35009562,7.6,-1,-1,-1,6.75,7.5,8,6.5,6.6,N1,,,,,,,,,,
35009563,5.6,-1,-1,-1,5.5,6.5,8.25,5.75,5.4,N1,,,,,,,,,,
35009564,8.8,5,9,3.75,-1,-1,-1,7.75,8.2,N1,,,,,,,,,,
35009565,6.4,-1,-1,-1,5.75,6,8.25,6.5,4.4,N1,,,,,,,,,,
35009566,8.2,4.75,7.75,3.25,-1,-1,-1,7,5.4,N1,,,,,,,,,,
35009567,6.4,-1,-1,-1,4.75,5.25,8.75,7.25,5.4,N1,,,,,,,,,,
35009568,8.2,-1,-1,-1,7,7.25,8,7.75,5,N1,,,,,,,,,,
35009569,6.4,-1,-1,-1,5.75,6.75,7.75,7.25,5,N1,,,,,,,,,,
35009570,5.2,-1,-1,-1,5.5,6,7,6.25,5.6,N1,,,,,,,,,,
35009571,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35009572,3.2,-1,-1,-1,4.5,6.25,-1,5.5,-1,none,,,,,,,,,,
35009573,7.4,-1,-1,-1,6.5,6.5,7.5,6.5,6.4,N1,,,,,,,,,,
35009574,8,4.5,8.5,3.5,-1,-1,-1,7,9.2,N1,,,,,,,,,,
35009575,3.6,-1,-1,-1,4,6.5,-1,6.5,2,N1,,,,,,,,,,
35009576,7.4,-1,-1,-1,6.5,8,7.75,8.25,8.2,N1,,,,,,,,,,
35009577,6.2,-1,-1,-1,5.75,7.5,7.25,6.75,4.8,N1,,,,,,,,,,
35009578,6.2,-1,-1,-1,6,5.5,-1,5.25,-1,none,,,,,,,,,,
35009579,7.8,-1,-1,-1,7,7.25,8.75,5.75,4.6,N1,,,,,,,,,,
35009580,4.2,-1,-1,-1,6,6.5,-1,4.75,-1,none,,,,,,,,,,
35009581,6.6,-1,-1,-1,6,6.5,6.75,7.5,4,N1,,,,,,,,,,
35009582,6,4.5,4,3.75,-1,-1,-1,7,4.8,N1,,,,,,,,,,
35009583,6.4,-1,-1,-1,7,6.75,-1,5.5,-1,none,,,,,,,,,,
35009584,7.8,-1,-1,-1,5.5,6.75,7.5,9.5,7.6,N1,,,,,,,,,,
35009585,4.2,-1,-1,-1,3.75,5.5,-1,6.25,-1,none,,,,,,,,,,
35009586,6.2,-1,-1,-1,7,5.75,7.5,6.75,3.6,N1,,,,,,,,,,
35009587,8.4,8.75,6.25,4.5,-1,-1,-1,8,7.8,N1,,,,,,,,,,
