SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35000203,1.6,-1,-1,-1,3.25,4.5,-1,5.25,-1,none,,,,,,,,,,
35000204,8.2,8.5,8,8.25,-1,-1,-1,9.5,7.8,N1,,,,,,,,,,
35000205,7.6,-1,-1,-1,6,7,8,8,5.2,N1,,,,,,,,,,
35000206,9,8.75,8.25,4.75,-1,-1,-1,7,5.2,N1,,,,,,,,,,
35000207,6.6,-1,-1,-1,3.75,6.75,7.5,7,3.4,N1,,,,,,,,,,
35000208,7.8,6.5,6,3.75,-1,-1,-1,4.5,6.2,N1,,,,,,,,,,
35000209,7.8,7.75,7,4.25,-1,-1,-1,8.5,7.2,N1,,,,,,,,,,
35000210,6.4,-1,-1,-1,3.25,5.25,7,7.75,4.2,N1,,,,,,,,,,
35000211,8,-1,-1,-1,7.75,8,8.5,8.25,8.2,N1,,,,,,,,,,
35000212,6.4,-1,-1,-1,4.5,7.25,8.5,8.5,6,N1,,,,,,,,,,
35000213,9,8.75,8.5,5,-1,-1,-1,8.5,5.6,N1,,,,,,,,,,
35000214,5.8,-1,-1,-1,5,6,8,6.25,3,N1,,,,,,,,,,
35000215,7.4,5.25,8,7.75,-1,-1,-1,8,6,N1,,,,,,,,,,
35000216,5.6,-1,-1,-1,6,6.25,7.5,7.75,2.4,N1,,,,,,,,,,
35000217,5.4,-1,-1,-1,3.25,5,5.5,6.75,2.4,N1,,,,,,,,,,
35000218,6,-1,-1,-1,3.5,4.5,-1,6.16,-1,none,,,,,,,,,,
35000219,8,-1,-1,-1,5.25,6.5,7,8.25,8,N1,,,,,,,,,,
35000220,6.8,4,5,3.5,-1,-1,-1,6,3.4,N1,,,,,,,,,,
35000221,5.4,-1,-1,-1,5,6.25,7.75,7.25,5.2,N1,,,,,,,,,,
35000222,6.2,-1,-1,-1,3.5,6.5,-1,5.25,-1,none,,,,,,,,,,
35000223,8.4,-1,-1,-1,6,7.5,7.75,8.5,5.8,N1,,,,,,,,,,
35000224,4.2,-1,-1,-1,1.5,5.5,-1,4.75,-1,none,,,,,,,,,,
35000225,8.8,9.25,9.25,6.75,-1,-1,-1,7.75,7.2,N1,,,,,,,,,,
35000226,8,5,7,5.5,-1,-1,-1,8.75,6.2,N1,,,,,,,,,,
35000227,5.6,-1,-1,-1,5,7.25,7.25,7.25,3.8,N1,,,,,,,,,,
35000228,7.4,7,7.75,4.25,-1,-1,-1,7,3.6,N1,,,,,,,,,,
35000229,8.6,6.25,6,4,-1,-1,-1,6.75,4.8,N1,,,,,,,,,,
35000230,6.8,5.75,7,4.5,-1,-1,-1,6.25,2.8,N1,,,,,,,,,,
35000231,4.2,-1,-1,-1,3,4.5,6.25,7,2.6,N1,,,,,,,,,,
35000232,6.6,-1,-1,-1,3,4.75,6.5,6.25,4,N1,,,,,,,,,,
35000233,8,7,8,5,-1,-1,-1,9,8.8,N1,,,,,,,,,,
35000234,7.6,-1,-1,-1,4.75,5,7.75,8.75,9,N1,,,,,,,,,,
35000235,7.2,-1,-1,-1,5.75,6,6.75,8.25,2.4,N1,,,,,,,,,,
35000236,7.4,-1,-1,-1,6.75,6.25,8.5,8.75,7.6,N1,,,,,,,,,,
35000237,6,-1,-1,-1,5.25,6,7,8,4.2,N1,,,,,,,,,,
35000238,5.8,-1,-1,-1,5.5,6.5,6.5,6.75,3.6,N1,,,,,,,,,,
35000239,6.2,4.5,5.75,4.25,-1,-1,-1,7,2.8,N1,,,,,,,,,,
35000240,6.8,-1,-1,-1,4.5,5,8.25,8.75,2.8,N1,,,,,,,,,,
35000241,6.6,-1,-1,-1,5.25,6.25,8,8.25,7.2,N1,,,,,,,,,,
35000242,6.8,3.5,3.25,3.75,-1,-1,-1,6.5,2.6,N1,,,,,,,,,,
35000243,6.8,-1,-1,-1,3.25,7,8.25,5.5,3.4,N1,,,,,,,,,,
35000244,8,-1,-1,-1,5.75,5.75,6.25,6.25,5,N1,,,,,,,,,,
35000245,8.4,7.75,8.25,3.25,-1,-1,-1,6.25,5.6,N1,,,,,,,,,,
35000246,8.6,7.5,7.25,5.5,-1,-1,-1,7.25,7,N1,,,,,,,,,,
35000247,2.4,-1,-1,-1,3,4.75,-1,4.5,-1,none,,,,,,,,,,
35000248,6,-1,-1,-1,3.25,6.5,7.5,6.5,4,N1,,,,,,,,,,
35000249,2.8,-1,-1,-1,2,2.5,-1,3.5,-1,none,,,,,,,,,,
35000250,7.2,7.5,7.25,1.75,-1,-1,-1,4.5,3.2,N1,,,,,,,,,,
35000251,8.2,8,7.75,4.25,-1,-1,-1,4,5,N1,,,,,,,,,,
35000252,4.8,-1,-1,-1,6,7.5,-1,2.5,-1,none,,,,,,,,,,
35000253,3,-1,-1,-1,3.5,5.75,-1,2.75,-1,none,,,,,,,,,,
35000254,7,6.5,8,4.75,-1,-1,-1,4.75,3,N1,,,,,,,,,,
35000255,7.2,-1,-1,-1,4.25,6.25,-1,7,-1,none,,,,,,,,,,
35000256,6.2,-1,-1,-1,7.75,7.75,8,8,6,N1,,,,,,,,,,
35000257,7.6,-1,-1,-1,5.5,7,8.75,8,6.4,N1,,,,,,,,,,
35000258,8.2,6.5,8.5,6.75,-1,-1,-1,7.75,8.4,N1,,,,,,,,,,
35000259,6.4,-1,-1,-1,5.75,4.75,6.5,7.5,4.8,N1,,,,,,,,,,
35000260,7.8,9,7,4.25,-1,-1,-1,6,7,N1,,,,,,,,,,
35000261,5.6,-1,-1,-1,9,7.75,9.25,8.5,3.6,N1,,,,,,,,,,
35000262,6.2,-1,-1,-1,3.5,5.25,6.5,6.25,4,N1,,,,,,,,,,
35000263,4.6,-1,-1,-1,6.25,4.75,-1,5.5,-1,none,,,,,,,,,,
